"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","tipo_receita","rubrica_receita","VALUE","QT_HABITANTE","ELEMENTLABEL","dh_consulta"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.4.0.00.1.0 - Transferências de Instituições Privadas","52664112.25","869265","1.7.4.0.00.1.0 - Transferências de Instituições Privadas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","1.7.1.0.00.0.0 - Transferências da União e de suas Entidades","679593552.55","869265","1.7.1.0.00.0.0 - Transferências da União e de suas Entidades","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","1.7.1.8.01.0.0 Participação na Receita da União","679593552.55","869265","1.7.1.8.01.0.0 Participação na Receita da União","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.02.0.0 Transferência da Compensação Financeira pela Exploração de Recursos Naturais","16161568.48","869265","1.7.1.8.02.0.0 Transferência da Compensação Financeira pela Exploração de Recursos Naturais","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.02.2.0 Cota-parte da Compensação Financeira de Recursos Minerais - CFEM","21957.34","869265","1.7.1.8.02.2.0 Cota-parte da Compensação Financeira de Recursos Minerais - CFEM","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.03.1.0 - Transferência de Recursos do SUS ¿ Atenção Básica","1029478.55","869265","1.7.1.8.03.1.0 - Transferência de Recursos do SUS ¿ Atenção Básica","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.03.5.0 - Transferência de Recursos do SUS ¿ Gestão do SUS","90000","869265","1.7.1.8.03.5.0 - Transferência de Recursos do SUS ¿ Gestão do SUS","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.3.1.0.01.1.0 - Aluguéis e Arrendamentos","119456.97","869265","1.3.1.0.01.1.0 - Aluguéis e Arrendamentos","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.3.2.0.00.0.0 - Valores Mobiliários","21796199.07","869265","1.3.2.0.00.0.0 - Valores Mobiliários","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.3.2.1.00.1.0 - Remuneração de Depósitos Bancários","20875656.32","869265","1.3.2.1.00.1.0 - Remuneração de Depósitos Bancários","##------ Sun Mar  1 14:14:45 2026 ------##"
